object,axis,gt_mm,silhouette_mm,silhouette_err_mm
obj1,L1,45.000,44.308,-0.692
obj1,L2,30.000,29.006,-0.994
obj1,L3,30.000,28.112,-1.888
obj2,L1,50.000,50.864,+0.864
obj2,L2,50.000,50.759,+0.759
obj2,L3,50.000,49.005,-0.995
