object_name,display_name,shape_class,gt_axes_used,baseline_aniso_E_dim_mm,oracle_iso_E_dim_mm,oracle_aniso_E_dim_mm,oracle_aniso_E_rel_percent,oracle_aniso_mean_iou,oracle_iso_mean_iou,oracle_aniso_extents_mm,gap_uncontrolled_mm,gap_controlled_mm,control_file
peg,Peg,simple,3,1.0199737005927407,1.1915060274119718,1.1237772167037885,3.569908747087927,0.9679434387627354,0.9662731700253488,"[44.525, 28.987, 28.117]",-0.17153232681923103,-0.10380351611104777,evaluation/results/control_oracle_aniso/peg_cad_fit_aniso.json
hole,Hole,simple,3,0.9476882546860116,0.8723303839413509,0.8728894106291231,1.7457788212582461,0.9769703059991409,0.9769703059991408,"[50.864, 50.759, 49.004]",0.07535787074466072,0.07479884405688852,evaluation/results/control_oracle_aniso/hole_cad_fit_aniso.json
T_shape,T-shape,simple,3,0.3268934581179105,0.3620057605069154,0.48450991188481635,0.4489277537382969,0.9838271582663985,0.980618265853213,"[149.091, 99.652, 49.804]",-0.035112302389004924,-0.15761645376690586,evaluation/results/control_oracle_aniso/T_shape_cad_fit_aniso.json
