object_name,display_name,shape_class,method,source_camera,gt_source,gt_L_mm,gt_W_mm,gt_H_mm,estimated_L_mm,estimated_W_mm,estimated_H_mm,abs_error_L_mm,abs_error_W_mm,abs_error_H_mm,mean_dimension_error_mm,mean_relative_dimension_error_percent,gt_axes_used,excluded_from_metric_scale,metric_exclusion_reason,result_file_path,source_camera_sil,cross_view_iou,cross_view_normalized_contour_distance,cross_view_normalized_contour_distance_percent,n_cross_views,per_camera_iou
peg,Peg,simple,baseline_sam3d,cam0,caliper_manual,45.0,30.0,30.0,44.48829305620022,28.810877577087474,28.640908264934083,0.5117069437997799,1.1891224229125257,1.3590917350659169,1.0199737005927407,3.2103912450129215,3,False,,data(3)/outputs_sam3d_fit/objpeg/objpeg_size.json,cam0,0.9601088566605808,0.006855036081340455,0.6855036081340455,2,"{""cam1"": 0.9625374625374625, ""cam2"": 0.957680250783699}"
peg,Peg,simple,oracle_cad,cam0,caliper_manual,45.0,30.0,30.0,44.308226560221236,29.005742907309074,28.111512450233775,0.691773439778764,0.9942570926909262,1.888487549766225,1.1915060274119718,3.71547437293666,3,False,,data(3)/outputs_cad_fit/peg_cad_fit.json,cam0,0.9589509437762922,0.005037299345187202,0.5037299345187202,2,"{""cam1"": 0.9641836219942829, ""cam2"": 0.9537182655583015}"
hole,Hole,simple,baseline_sam3d,cam0,caliper_manual,50.0,50.0,50.0,51.03049042796988,49.11978842493137,49.067637238980474,1.0304904279698803,0.8802115750686283,0.932362761019526,0.9476882546860116,1.8953765093720232,3,False,,data(3)/outputs_sam3d_fit/objhole/objhole_size.json,cam0,0.9725092038446301,0.004700506673465977,0.4700506673465977,2,"{""cam1"": 0.9719645154736913, ""cam2"": 0.9730538922155688}"
hole,Hole,simple,oracle_cad,cam0,caliper_manual,50.0,50.0,50.0,50.863775193837455,50.75856459216047,49.00534863417387,0.8637751938374549,0.758564592160468,0.9946513658261296,0.8723303839413509,1.7446607678827017,3,False,,data(3)/outputs_cad_fit/hole_cad_fit.json,cam0,0.9762853589398534,0.004919677189861605,0.4919677189861605,2,"{""cam1"": 0.9767109295199183, ""cam2"": 0.9758597883597884}"
T_shape,T-shape,simple,baseline_sam3d,cam0,cad_design_nominal,150.0,100.0,50.0,150.6115997151543,99.77380689541474,50.142887554614155,0.6115997151543127,0.22619310458526343,0.14288755461415548,0.32689345811791054,0.30656711908326095,3,False,,data/outputs_sam3d_01/obj1/obj1_size.json,cam0,0.9755264975089561,0.0034259913988043864,0.34259913988043866,2,"{""cam1"": 0.9794030405967636, ""cam2"": 0.9716499544211485}"
T_shape,T-shape,simple,oracle_cad,cam0,cad_design_nominal,150.0,100.0,50.0,149.45699135923962,99.63799423949308,49.81899711974655,0.5430086407603767,0.3620057605069178,0.1810028802534518,0.3620057605069154,0.3620057605069131,3,False,,data/outputs_cad_01/obj1_cad_fit.json,cam0,0.9804530466917305,0.002316111843287366,0.23161118432873665,2,"{""cam1"": 0.981302910507058, ""cam2"": 0.9796031828764029}"
kettle,Kettle,complex,baseline_sam3d,cam0,caliper_manual,116.0,68.0,65.0,117.30750831475608,69.0904286220488,67.02256333301595,1.3075083147560775,1.0904286220488046,2.0225633330159525,1.4735000899402781,1.9474565800891768,3,False,,data/outputs_sam3d_02/obj1/obj1_size.json,cam0,0.9781510631673257,0.0033165181552882545,0.3316518155288255,2,"{""cam1"": 0.9771853574117865, ""cam2"": 0.9791167689228649}"
