frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,3,12,0.624632,0.570336,0.965804,"[3, 2, 1]"
1,True,3,12,0.970937,1.096129,1.450993,"[5, 2, 0]"
2,True,3,12,0.565377,0.339720,1.159976,"[2, 1, 0]"
3,True,4,16,1.018548,0.862988,1.701217,"[5, 4, 0, 1]"
4,True,2,8,0.999665,1.079156,1.342201,"[4, 3]"
5,True,4,16,0.588392,0.647534,1.067313,"[3, 2, 1, 0]"
6,True,2,8,0.522304,0.405191,0.876822,"[2, 5]"
7,True,3,12,0.658143,0.690634,0.931295,"[2, 5, 0]"
8,True,2,8,0.524040,0.598535,0.842514,"[5, 4]"
9,True,2,8,0.447316,0.432622,0.574940,"[3, 4]"
10,True,2,8,0.113211,0.100030,0.172860,"[3, 2]"
11,True,2,8,0.293359,0.275654,0.450172,"[2, 5]"
12,True,2,8,0.466809,0.418066,0.748791,"[5, 4]"
13,True,2,8,0.345583,0.349467,0.489614,"[3, 4]"
14,True,2,8,0.548377,0.589762,0.772484,"[3, 2]"
15,True,2,8,0.489527,0.444381,0.662271,"[5, 2]"
16,True,2,8,0.447099,0.479051,0.588440,"[5, 4]"
17,True,2,8,0.336135,0.298196,0.510256,"[4, 3]"
18,True,2,8,0.151980,0.152640,0.233625,"[3, 2]"
19,True,2,8,0.449388,0.433631,0.666665,"[5, 2]"
