frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.527427,0.552335,0.701820,"[5, 4]"
1,True,2,8,0.377553,0.341415,0.605725,"[4, 3]"
2,True,2,8,0.388244,0.392061,0.605041,"[5, 4]"
3,True,2,8,0.263196,0.262643,0.381940,"[3, 4]"
4,True,2,8,0.153490,0.158164,0.239021,"[3, 2]"
5,True,2,8,0.309966,0.279298,0.463678,"[5, 2]"
6,True,2,8,0.284427,0.280493,0.400190,"[5, 4]"
7,True,2,8,0.293231,0.278005,0.424598,"[5, 4]"
8,True,2,8,0.267227,0.212029,0.479643,"[4, 3]"
9,True,2,8,0.442160,0.333680,0.740608,"[2, 5]"
10,True,3,12,0.929185,0.910455,1.437714,"[5, 2, 0]"
11,True,2,8,0.643999,0.583983,1.070032,"[4, 5]"
12,True,2,8,0.293120,0.311740,0.459651,"[3, 4]"
13,True,2,8,0.323021,0.311082,0.521597,"[2, 3]"
14,True,2,8,0.269585,0.248806,0.423993,"[2, 5]"
15,True,2,8,0.340319,0.339473,0.524966,"[4, 5]"
16,True,2,8,0.264839,0.223010,0.472217,"[3, 4]"
17,True,2,8,0.206312,0.199574,0.308720,"[2, 3]"
18,True,2,8,0.441464,0.405631,0.704825,"[5, 0]"
19,True,2,8,0.630192,0.555293,1.012272,"[4, 3]"
