frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.236777,0.233013,0.272831,"[4, 3]"
1,True,2,8,0.092521,0.093562,0.149075,"[3, 2]"
2,True,2,8,0.380292,0.378974,0.543146,"[4, 3]"
3,True,2,8,0.177025,0.166300,0.290747,"[2, 3]"
4,True,2,8,0.407336,0.346045,0.732461,"[5, 2]"
5,True,2,8,0.448607,0.456241,0.671745,"[4, 5]"
6,True,2,8,0.371985,0.345065,0.573131,"[4, 3]"
7,True,2,8,0.311102,0.333609,0.460427,"[3, 4]"
8,True,2,8,0.258120,0.208122,0.397674,"[2, 3]"
9,True,2,8,0.326193,0.360248,0.454520,"[5, 4]"
10,True,2,8,0.409284,0.418977,0.540787,"[4, 3]"
11,True,2,8,0.160689,0.113440,0.332824,"[3, 2]"
12,True,2,8,0.239275,0.218356,0.448526,"[2, 5]"
13,True,2,8,0.819299,0.794110,1.049679,"[5, 4]"
14,True,2,8,0.425150,0.459219,0.709290,"[4, 5]"
15,True,2,8,0.400229,0.349004,0.639976,"[3, 2]"
16,True,2,8,0.548054,0.500358,0.915108,"[2, 5]"
17,True,2,8,0.668751,0.610772,1.074837,"[5, 4]"
18,True,2,8,0.352986,0.301144,0.510037,"[4, 3]"
19,True,2,8,0.284930,0.310201,0.441225,"[3, 2]"
