frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,3,12,0.406756,0.400217,0.539304,"[2, 3, 0]"
1,True,3,12,0.410582,0.421185,0.569602,"[2, 3, 0]"
2,True,3,12,0.541000,0.520984,0.715642,"[3, 4, 0]"
3,True,3,12,0.518480,0.517392,0.720691,"[3, 4, 0]"
4,True,2,8,0.237257,0.303904,0.381696,"[1, 2]"
5,True,2,8,0.231744,0.308159,0.366407,"[1, 2]"
6,True,2,8,0.111095,0.091720,0.227327,"[1, 4]"
7,True,2,8,0.123216,0.099857,0.242076,"[1, 4]"
8,True,2,8,0.198890,0.170963,0.375760,"[3, 4]"
9,True,2,8,0.209715,0.220685,0.329990,"[3, 4]"
10,True,2,8,0.272236,0.290416,0.407397,"[2, 3]"
11,True,2,8,0.275260,0.297202,0.415380,"[2, 3]"
12,True,2,8,0.156662,0.142183,0.262216,"[2, 3]"
13,True,2,8,0.563903,0.520724,0.854400,"[3, 2]"
14,True,2,8,0.574122,0.541137,0.842807,"[3, 2]"
15,True,3,12,0.317139,0.301262,0.498221,"[2, 1, 0]"
16,True,3,12,0.323047,0.319664,0.518087,"[2, 1, 0]"
17,True,3,12,0.401139,0.369569,0.639835,"[3, 2, 0]"
18,True,3,12,0.370951,0.315740,0.636119,"[3, 2, 0]"
19,True,3,12,0.605603,0.566721,1.097702,"[3, 2, 0]"
20,True,3,12,0.602090,0.601689,1.098052,"[3, 2, 0]"
21,True,2,8,0.244791,0.177215,0.432301,"[2, 1]"
22,True,2,8,0.251830,0.266316,0.359834,"[2, 1]"
23,True,2,8,0.109361,0.081197,0.224579,"[4, 1]"
24,True,2,8,0.136859,0.094909,0.263845,"[4, 1]"
