frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.388719,0.352175,0.605917,"[2, 5]"
1,True,2,8,0.414018,0.407618,0.615041,"[2, 5]"
2,True,2,8,0.239465,0.231371,0.330273,"[4, 3]"
3,True,2,8,0.245204,0.230180,0.483899,"[4, 3]"
4,True,2,8,0.252335,0.230979,0.483832,"[4, 3]"
5,True,2,8,0.368469,0.362583,0.617223,"[4, 5]"
6,True,2,8,0.358155,0.351164,0.594259,"[4, 5]"
7,True,2,8,0.274808,0.231271,0.448323,"[3, 2]"
8,True,2,8,0.280015,0.260252,0.463466,"[3, 2]"
9,True,2,8,0.423360,0.318231,0.627474,"[2, 5]"
10,True,2,8,0.427165,0.333494,0.631888,"[2, 5]"
11,True,2,8,0.297089,0.312600,0.464678,"[2, 5]"
12,True,2,8,0.293288,0.302874,0.477996,"[2, 5]"
13,True,2,8,0.230391,0.239954,0.251893,"[5, 2]"
14,True,2,8,0.147264,0.172346,0.206957,"[4, 5]"
15,True,2,8,0.148809,0.177823,0.206628,"[4, 5]"
16,True,2,8,0.445466,0.485922,0.624631,"[4, 5]"
17,True,2,8,0.465410,0.507969,0.617994,"[4, 5]"
18,True,2,8,0.404723,0.376731,0.674417,"[3, 4]"
19,True,2,8,0.400503,0.377539,0.666977,"[3, 4]"
20,True,2,8,0.321184,0.322575,0.519098,"[2, 5]"
21,True,2,8,0.319703,0.309818,0.512034,"[2, 5]"
