frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.223432,0.196460,0.320761,"[5, 4]"
1,True,2,8,0.240728,0.207393,0.351317,"[5, 4]"
2,True,2,8,0.181111,0.175276,0.263613,"[2, 3]"
3,True,2,8,0.272662,0.278477,0.353518,"[2, 3]"
4,True,2,8,0.247342,0.247904,0.347311,"[2, 3]"
5,True,2,8,0.384112,0.368888,0.552788,"[3, 2]"
6,True,2,8,0.392678,0.404426,0.531038,"[3, 2]"
7,True,2,8,0.360257,0.381970,0.586304,"[5, 2]"
8,True,2,8,0.355953,0.388019,0.565671,"[5, 2]"
9,True,2,8,0.189564,0.150955,0.341808,"[5, 4]"
10,True,2,8,0.198605,0.166445,0.343601,"[5, 4]"
11,True,2,8,0.201838,0.230355,0.284389,"[5, 4]"
12,True,2,8,0.200998,0.197645,0.295253,"[5, 4]"
13,True,2,8,0.374609,0.369345,0.469157,"[4, 5]"
14,True,2,8,0.419223,0.380461,0.611237,"[3, 4]"
15,True,2,8,0.463272,0.414348,0.837459,"[3, 4]"
16,True,2,8,0.388988,0.328202,0.673635,"[3, 2]"
17,True,2,8,0.390898,0.327239,0.633703,"[3, 2]"
18,True,2,8,0.250808,0.267578,0.336376,"[2, 5]"
19,True,2,8,0.241527,0.269994,0.322388,"[2, 5]"
20,True,2,8,0.175664,0.197289,0.254969,"[5, 4]"
21,True,2,8,0.230985,0.221871,0.307260,"[5, 4]"
