frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,3,12,0.452189,0.485115,0.702026,"[1, 0, 4]"
1,True,3,12,0.480259,0.492819,0.702852,"[1, 0, 4]"
2,True,2,8,0.305871,0.299210,0.456679,"[2, 1]"
3,True,2,8,0.292822,0.275430,0.447297,"[2, 1]"
4,True,3,12,0.470503,0.495442,0.692193,"[4, 0, 1]"
5,True,3,12,0.456784,0.505776,0.614857,"[4, 0, 1]"
6,True,3,12,0.474777,0.493042,0.584223,"[3, 4, 0]"
7,True,3,12,0.462647,0.458742,0.545282,"[3, 4, 0]"
8,True,2,8,0.243806,0.243357,0.353080,"[3, 2]"
9,True,2,8,0.239347,0.201383,0.407356,"[3, 2]"
10,True,2,8,0.227875,0.242103,0.391826,"[1, 2]"
11,True,2,8,0.232392,0.217168,0.408027,"[1, 2]"
12,True,3,12,0.382945,0.342679,0.681190,"[1, 2, 0]"
13,True,2,8,0.210893,0.173108,0.382383,"[2, 1]"
14,True,1,4,0.123762,0.123726,0.126795,"[2]"
15,True,2,8,0.233767,0.162287,0.430366,"[1, 4]"
16,True,2,8,0.217967,0.120825,0.419088,"[1, 4]"
17,True,2,8,0.176005,0.148123,0.275254,"[2, 1]"
18,True,2,8,0.183413,0.170187,0.271934,"[2, 1]"
19,True,2,8,0.191377,0.210462,0.281723,"[2, 1]"
20,True,2,8,0.186453,0.212858,0.262454,"[2, 1]"
21,True,2,8,0.267315,0.202647,0.481747,"[1, 4]"
22,True,3,12,0.440662,0.356570,0.751244,"[1, 4, 0]"
23,True,3,12,0.382423,0.355501,0.637039,"[3, 0, 4]"
24,True,3,12,0.371046,0.348185,0.624473,"[3, 0, 4]"
