frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.304362,0.258493,0.460706,"[3, 4]"
1,True,2,8,0.310366,0.273035,0.479889,"[3, 4]"
2,True,2,8,0.642491,0.681156,0.779049,"[5, 4]"
3,True,2,8,0.352785,0.344016,0.595577,"[5, 4]"
4,True,2,8,0.341482,0.323844,0.570370,"[5, 4]"
5,True,2,8,0.194645,0.173681,0.322080,"[2, 5]"
6,True,2,8,0.203945,0.184979,0.331299,"[2, 5]"
7,True,2,8,0.304283,0.312884,0.474729,"[4, 5]"
8,True,2,8,0.320192,0.343430,0.440739,"[4, 5]"
9,True,2,8,0.290291,0.285324,0.393609,"[3, 4]"
10,True,2,8,0.278007,0.284983,0.398358,"[3, 4]"
11,True,2,8,0.505905,0.495342,0.734530,"[4, 3]"
12,True,3,12,0.460739,0.409905,0.762808,"[4, 3, 1]"
13,True,2,8,0.335044,0.217468,0.697829,"[3, 2]"
14,True,2,8,0.261135,0.173386,0.494023,"[2, 5]"
15,True,2,8,0.249909,0.177697,0.480588,"[2, 5]"
16,True,2,8,0.207644,0.190056,0.341216,"[5, 2]"
17,True,2,8,0.218621,0.207186,0.343898,"[5, 2]"
18,True,2,8,0.207235,0.199501,0.325632,"[5, 4]"
19,True,2,8,0.251146,0.248221,0.411778,"[5, 4]"
20,True,2,8,0.343549,0.315837,0.491247,"[4, 3]"
21,True,2,8,0.343549,0.339285,0.445140,"[4, 3]"
