frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,2,8,0.481090,0.367984,0.820014,"[5, 2]"
1,True,2,8,0.494527,0.557979,0.646654,"[5, 4]"
2,True,2,8,0.394337,0.299024,0.699562,"[4, 5]"
3,True,2,8,0.520964,0.434377,0.833181,"[4, 0]"
4,True,2,8,0.325973,0.309105,0.474005,"[4, 3]"
5,True,2,8,0.258776,0.239917,0.425851,"[3, 2]"
6,True,2,8,0.296921,0.315812,0.453192,"[2, 3]"
7,True,2,8,0.524620,0.486502,0.706255,"[5, 2]"
8,True,2,8,0.339740,0.278446,0.546358,"[5, 2]"
9,True,4,16,0.563257,0.505817,1.166482,"[5, 2, 0, 1]"
10,True,2,8,0.525921,0.538997,0.745726,"[2, 3]"
11,True,2,8,0.425228,0.296579,0.830756,"[5, 2]"
12,True,2,8,0.378751,0.412148,0.563019,"[5, 4]"
13,True,2,8,0.530053,0.447558,0.868805,"[5, 2]"
14,True,4,16,0.758136,0.709406,1.250665,"[3, 2, 1, 0]"
15,True,2,8,0.396243,0.351199,0.634298,"[4, 1]"
16,True,3,12,0.840930,0.783704,1.671597,"[3, 1, 0]"
17,True,2,8,0.433644,0.353801,0.684143,"[4, 3]"
18,True,3,12,0.545676,0.536655,0.795153,"[2, 3, 1]"
