frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,3,12,0.514568,0.487672,0.699636,"[4, 5, 0]"
1,True,4,16,0.428671,0.408654,0.590183,"[4, 3, 1, 0]"
2,True,3,12,0.437515,0.418767,0.945491,"[3, 2, 1]"
3,True,2,8,0.303238,0.246008,0.494449,"[3, 2]"
4,True,2,8,0.246307,0.235364,0.344376,"[3, 2]"
5,True,2,8,0.313301,0.370251,0.457805,"[2, 5]"
6,True,2,8,0.387504,0.277934,0.736226,"[5, 2]"
7,True,2,8,0.329797,0.271421,0.509682,"[4, 5]"
8,True,2,8,0.246417,0.237915,0.434136,"[4, 5]"
9,True,3,12,0.330091,0.369951,0.406522,"[4, 3, 0]"
10,True,3,12,0.428487,0.366948,0.760169,"[5, 0, 1]"
11,True,4,16,0.479185,0.503822,0.602302,"[4, 5, 0, 1]"
12,True,2,8,0.341914,0.338462,0.550194,"[4, 3]"
13,True,3,12,0.477769,0.480488,0.813322,"[4, 5, 0]"
14,True,2,8,0.330645,0.345263,0.435137,"[2, 5]"
15,True,3,12,0.355303,0.233487,0.786250,"[2, 3, 1]"
16,True,2,8,0.444903,0.428969,0.625502,"[2, 5]"
17,True,3,12,0.373636,0.408281,0.530187,"[2, 1, 0]"
18,True,2,8,0.357339,0.269612,0.691855,"[5, 0]"
