frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,3,12,0.508702,0.363136,0.922588,"[3, 2, 1]"
1,True,2,8,0.168187,0.161547,0.242949,"[2, 3]"
2,True,2,8,0.289174,0.249896,0.470859,"[2, 5]"
3,True,2,8,0.402314,0.413548,0.502734,"[2, 5]"
4,True,3,12,0.572487,0.552586,0.925710,"[5, 2, 0]"
5,True,4,16,0.587914,0.592352,0.828012,"[4, 5, 0, 1]"
6,True,4,16,0.457902,0.463473,0.678079,"[4, 3, 1, 0]"
7,True,2,8,0.437568,0.401126,0.659984,"[3, 1]"
8,True,3,12,0.474132,0.408604,0.832678,"[3, 2, 1]"
9,True,2,8,0.332513,0.334752,0.521089,"[3, 2]"
10,True,2,8,0.338320,0.384777,0.473945,"[4, 3]"
11,True,2,8,0.178100,0.191156,0.264101,"[3, 2]"
12,True,3,12,0.423725,0.431237,0.560484,"[2, 1, 0]"
13,True,2,8,0.181172,0.156995,0.300636,"[3, 2]"
14,True,2,8,0.359222,0.366632,0.510384,"[4, 5]"
15,True,2,8,0.344681,0.373897,0.487577,"[5, 2]"
16,True,2,8,0.337272,0.362760,0.420555,"[4, 5]"
17,True,2,8,0.346090,0.358459,0.416805,"[5, 4]"
18,True,2,8,0.411389,0.412519,0.602942,"[4, 3]"
